symbol;available_exchanges;currency_base;currency_quote
"BCH/ETH";"[""Exmo""]";"Bitcoin Cash";"Ethereum"
"BCH/EUR";"[""Binance"",""BitStamp"",""Coinbase Pro""]";"Bitcoin Cash";"Euro"
"BCH/GBP";"[""Coinbase Pro""]";"Bitcoin Cash";"British Pound"
"BCH/HKD";"[""Synthetic""]";"Bitcoin Cash";"Hong Kong Dollar"
"BCH/ILS";"[""Synthetic""]";"Bitcoin Cash";"Israeli Shekel"
"BCH/INR";"[""Synthetic""]";"Bitcoin Cash";"Indian Rupee"
"BCH/JPY";"[""Bitbank"",""Zaif""]";"Bitcoin Cash";"Japanese Yen"
"BCH/KRW";"[""Bithumb"",""Upbit""]";"Bitcoin Cash";"Korean Won"
"BCH/MXN";"[""Synthetic""]";"Bitcoin Cash";"Mexican Peso"
"BCH/MYR";"[""Synthetic""]";"Bitcoin Cash";"Malaysian Ringgit"
"BCH/PLN";"[""BitBay"",""Synthetic""]";"Bitcoin Cash";"Polish Zloty"
"BCH/RUB";"[""Synthetic""]";"Bitcoin Cash";"Russian Ruble"
"BCH/SAR";"[""Synthetic""]";"Bitcoin Cash";"Saudi Riyal"
"BCH/SEK";"[""Synthetic""]";"Bitcoin Cash";"Swedish Krona"
"BCHSV/AUD";"[""BTC Markets""]";"Bitcoin SV";"Australian Dollar"
"BCHSV/BTC";"[""Poloniex""]";"Bitcoin SV";"Bitcoin"
"BCHSV/DOGE";"[""YoBit""]";"Bitcoin SV";"Dogecoin"
"BCHSV/ETH";"[""Kucoin""]";"Bitcoin SV";"Ethereum"
"BCHSV/IDR";"[""Indodax""]";"Bitcoin SV";"Indonesian Rupiah"
"BCHSV/INR";"[""Bitbns""]";"Bitcoin SV";"Indian Rupee"
"BCH/THB";"[""Bitkub""]";"Bitcoin Cash";"Thai Baht"
"BCH/TRY";"[""Paribu"",""Synthetic""]";"Bitcoin Cash";"Turkish Lira"
"BCH/USD";"[""Binance""]";"Bitcoin Cash";"US Dollar"
"BCH/VND";"[""Synthetic""]";"Bitcoin Cash";"Vietnamese Dong"
"BCH/XRP";"[""Bitrue""]";"Bitcoin Cash";"XRP"
"BCH/ZAR";"[""Synthetic""]";"Bitcoin Cash";"South African Rand"
"BCI/USD";"[""Synthetic""]";"Bitcoin Interest";"US Dollar"
"BCN/ETH";"[""HitBTC""]";"Bytecoin";"Ethereum"
"BCN/USD";"[""HitBTC""]";"Bytecoin";"US Dollar"
"BCZERO/USD";"[""Synthetic""]";"Buggyra Coin Zero";"US Dollar"
"BEE/USD";"[""Synthetic""]";"Bee-Token";"US Dollar"
"BELA/USD";"[""Synthetic""]";"Bela";"US Dollar"
"BERN/BTC";"[""YoBit""]";"BERNcash";"Bitcoin"
"BERN/USD";"[""Synthetic""]";"BERNcash";"US Dollar"
"BEZ/USD";"[""Synthetic""]";"Bezop";"US Dollar"
"BIOB/USD";"[""Synthetic""]";"BioBar";"US Dollar"
"BIS/USD";"[""Synthetic""]";"Bismuth";"US Dollar"
"BITB/BTC";"[""YoBit""]";"Bean Cash";"Bitcoin"
"BITB/USD";"[""Synthetic""]";"Bean Cash";"US Dollar"
"BITCAR/USD";"[""Synthetic""]";"BitCar";"US Dollar"
"BITS/BTC";"[""YoBit""]";"Bitstar";"Bitcoin"
"BITS/USD";"[""Synthetic""]";"Bitstar";"US Dollar"
"BITZ/USD";"[""Synthetic""]";"Bitz";"US Dollar"
"BKX/USD";"[""Synthetic""]";"BANKEX";"US Dollar"
"BLAST/USD";"[""Bybit""]";"Blast";"US Dollar"
"BLAZR/BTC";"[""YoBit""]";"BlazerCoin";"Bitcoin"
"BLAZR/USD";"[""Synthetic""]";"BlazerCoin";"US Dollar"
"BLC/USD";"[""Synthetic""]";"Blakecoin";"US Dollar"
"BLITZ/USD";"[""Synthetic""]";"Blitzcash";"US Dollar"
"BLK/USD";"[""Synthetic""]";"BlackCoin";"US Dollar"
"BLOCK/USD";"[""Synthetic""]";"Blocknet";"US Dollar"
"BLOK/USD";"[""Gate.io"",""KuCoin""]";"Bloktopia";"US Dollar"
"BLUE/BTC";"[""YoBit""]";"Blue Protocol";"Bitcoin"
"BLUE/USD";"[""Synthetic""]";"BLUE";"US Dollar"
"BLUR/USD";"[""Binance""]";"Blur";"US Dollar"
"BLU/USD";"[""Synthetic""]";"BlueCoin";"US Dollar"
"BLX/USD";"[""Synthetic""]";"Blockchain Index";"US Dollar"
"BLZE/USD";"[""Gate.io"",""Synthetic""]";"Bluzelle";"US Dollar"
"BMT/BTC";"[""YoBit""]";"BMChain";"Bitcoin"
"BMT/ETH";"[""YoBit""]";"BMChain";"Ethereum"
"BMT/RUB";"[""YoBit""]";"BMChain";"Russian Ruble"
"BMT/USD";"[""Synthetic"",""YoBit""]";"BMChain";"US Dollar"
"BNB/BRL";"[""Binance""]";"Binance Coin";"Brazil Real"
